,song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
157,Too Close,Ria Mae,0.483,0.667,8,-6.243,1,0.0912,0.0715,0.0,0.0676,0.64,96.028,audio_features,4Gy6pnhY9GGE3nqD3d0CmU,spotify:track:4Gy6pnhY9GGE3nqD3d0CmU,https://api.spotify.com/v1/tracks/4Gy6pnhY9GGE3nqD3d0CmU,https://api.spotify.com/v1/audio-analysis/4Gy6pnhY9GGE3nqD3d0CmU,147741,4
158,Lose Myself,Faustix,0.625,0.871,11,-3.707,0,0.0532,0.0646,0.0,0.885,0.448,108.038,audio_features,4KpbD67QmMxvdSVGOGiqlj,spotify:track:4KpbD67QmMxvdSVGOGiqlj,https://api.spotify.com/v1/tracks/4KpbD67QmMxvdSVGOGiqlj,https://api.spotify.com/v1/audio-analysis/4KpbD67QmMxvdSVGOGiqlj,205278,4
159,We Got Love,Sigala,0.722,0.812,9,-3.352,0,0.0924,0.0205,2.51e-05,0.131,0.657,124.909,audio_features,35mMXfym6C9VOTUVrcKKZp,spotify:track:35mMXfym6C9VOTUVrcKKZp,https://api.spotify.com/v1/tracks/35mMXfym6C9VOTUVrcKKZp,https://api.spotify.com/v1/audio-analysis/35mMXfym6C9VOTUVrcKKZp,213041,4
160,Something Unreal,The Script,0.572,0.775,0,-4.828,1,0.0587,0.00259,1.01e-05,0.139,0.501,133.914,audio_features,0eL459KLWfWjAJswx9MysK,spotify:track:0eL459KLWfWjAJswx9MysK,https://api.spotify.com/v1/tracks/0eL459KLWfWjAJswx9MysK,https://api.spotify.com/v1/audio-analysis/0eL459KLWfWjAJswx9MysK,211653,4
161,DANCE,CLMD,0.766,0.548,7,-7.834,1,0.0373,0.0263,1.81e-06,0.21,0.552,122.012,audio_features,6TfeXwJihJRuBW3mFpib6J,spotify:track:6TfeXwJihJRuBW3mFpib6J,https://api.spotify.com/v1/tracks/6TfeXwJihJRuBW3mFpib6J,https://api.spotify.com/v1/audio-analysis/6TfeXwJihJRuBW3mFpib6J,174448,4
162,Forfeit. (ft. Lucky Daye),Kiana Ledé,0.768,0.441,1,-7.976,1,0.143,0.515,0.0,0.0932,0.367,132.024,audio_features,4XNIVgbkrOTI0ONro31EB4,spotify:track:4XNIVgbkrOTI0ONro31EB4,https://api.spotify.com/v1/tracks/4XNIVgbkrOTI0ONro31EB4,https://api.spotify.com/v1/audio-analysis/4XNIVgbkrOTI0ONro31EB4,242405,3
163,LIKE I WANT YOU,Giveon,0.64,0.355,10,-7.757,0,0.065,0.76,7.01e-05,0.114,0.437,119.513,audio_features,6qBFSepqLCuh5tehehc1bd,spotify:track:6qBFSepqLCuh5tehehc1bd,https://api.spotify.com/v1/tracks/6qBFSepqLCuh5tehehc1bd,https://api.spotify.com/v1/audio-analysis/6qBFSepqLCuh5tehehc1bd,260776,3
164,For Mine,Tank,0.612,0.471,3,-5.548,0,0.0488,0.875,0.0,0.0992,0.219,77.01,audio_features,0DJsKqkRjxuNpOLmq7LbXm,spotify:track:0DJsKqkRjxuNpOLmq7LbXm,https://api.spotify.com/v1/tracks/0DJsKqkRjxuNpOLmq7LbXm,https://api.spotify.com/v1/audio-analysis/0DJsKqkRjxuNpOLmq7LbXm,252468,4
165,"Element (from Insecure: Music From The HBO Original Series, Season 4)",Raedio,0.709,0.639,5,-5.832,0,0.0491,0.00181,0.000755,0.163,0.712,143.761,audio_features,5z149VkrZhAMAZW5NHZTkr,spotify:track:5z149VkrZhAMAZW5NHZTkr,https://api.spotify.com/v1/tracks/5z149VkrZhAMAZW5NHZTkr,https://api.spotify.com/v1/audio-analysis/5z149VkrZhAMAZW5NHZTkr,163546,4
166,Make the Most (feat. H.E.R.),Lonr.,0.566,0.693,10,-6.917,0,0.368,0.361,0.0,0.0806,0.838,78.743,audio_features,6UF1vUIoLleFrhcxg2L26V,spotify:track:6UF1vUIoLleFrhcxg2L26V,https://api.spotify.com/v1/tracks/6UF1vUIoLleFrhcxg2L26V,https://api.spotify.com/v1/audio-analysis/6UF1vUIoLleFrhcxg2L26V,213851,4
167,'Flawless' Do It Well Pt. 3 (feat. Summer Walker),dvsn,0.607,0.42,5,-9.307,0,0.0595,0.216,0.0,0.129,0.643,140.639,audio_features,6Ok5DivyUJjsLVUUWLzz6o,spotify:track:6Ok5DivyUJjsLVUUWLzz6o,https://api.spotify.com/v1/tracks/6Ok5DivyUJjsLVUUWLzz6o,https://api.spotify.com/v1/audio-analysis/6Ok5DivyUJjsLVUUWLzz6o,231489,4
168,"Show You (Remix) [feat. Q] [from Insecure: Music From The HBO Original Series, Season 4]",Baby Rose,0.496,0.568,6,-6.178,0,0.0357,0.0869,9.52e-05,0.0972,0.29,87.931,audio_features,1wA1tFOHx167N1My7frqIH,spotify:track:1wA1tFOHx167N1My7frqIH,https://api.spotify.com/v1/tracks/1wA1tFOHx167N1My7frqIH,https://api.spotify.com/v1/audio-analysis/1wA1tFOHx167N1My7frqIH,256336,4
169,Think About You - Notion Mix,Tiana Major9,0.774,0.619,7,-6.367,1,0.0907,0.00747,2.93e-05,0.081,0.509,86.747,audio_features,698qfbrci5r8U0EKceXhml,spotify:track:698qfbrci5r8U0EKceXhml,https://api.spotify.com/v1/tracks/698qfbrci5r8U0EKceXhml,https://api.spotify.com/v1/audio-analysis/698qfbrci5r8U0EKceXhml,194883,4
170,Waiting For (feat. Jamila Woods),rum.gold,0.738,0.379,2,-11.644,0,0.084,0.201,1.1e-05,0.0806,0.598,122.042,audio_features,02nZeTbm2dRHisH6qsUM5E,spotify:track:02nZeTbm2dRHisH6qsUM5E,https://api.spotify.com/v1/tracks/02nZeTbm2dRHisH6qsUM5E,https://api.spotify.com/v1/audio-analysis/02nZeTbm2dRHisH6qsUM5E,200215,4
171,"If It's Good (from Insecure: Music From The HBO Original Series, Season 4)",Raedio,0.415,0.606,1,-7.615,0,0.215,0.195,0.00308,0.403,0.401,90.176,audio_features,5TgJZKTG7DWR1rpwxNcYN0,spotify:track:5TgJZKTG7DWR1rpwxNcYN0,https://api.spotify.com/v1/tracks/5TgJZKTG7DWR1rpwxNcYN0,https://api.spotify.com/v1/audio-analysis/5TgJZKTG7DWR1rpwxNcYN0,184238,4
172,Dive,Victoria Monét,0.742,0.579,2,-6.289,1,0.0338,0.283,0.133,0.152,0.541,130.033,audio_features,2YMXS10cLLTiJ8BLn9nasA,spotify:track:2YMXS10cLLTiJ8BLn9nasA,https://api.spotify.com/v1/tracks/2YMXS10cLLTiJ8BLn9nasA,https://api.spotify.com/v1/audio-analysis/2YMXS10cLLTiJ8BLn9nasA,225773,4
173,Comeback (feat. Tory Lanez and 30 Roc),JoJo,0.676,0.537,8,-7.678,0,0.0841,0.0746,0.000122,0.108,0.512,122.998,audio_features,6LKgEkw3rZVNr885Yu41b8,spotify:track:6LKgEkw3rZVNr885Yu41b8,https://api.spotify.com/v1/tracks/6LKgEkw3rZVNr885Yu41b8,https://api.spotify.com/v1/audio-analysis/6LKgEkw3rZVNr885Yu41b8,175252,4
